id_responden,negara,jenis_kelamin,tahun_lahir,usia,kepuasan_hidup,pentingnya_pekerjaan,kepuasan_finansial,kebebasan_memilih,religiusitas,skala_politik,status_pernikahan,status_pekerjaan,kelompok_usia
124071434,Kanada,Laki-laki,1927,93,7,1,7,6,3,5,Janda/Duda,Paruh waktu,61+
554070524,Selandia Baru,Perempuan,1928,91,5,4,5,6,6,3,Janda/Duda,Pensiunan,61+
702070265,Singapura,Laki-laki,1930,90,8,1,9,10,9,3,Janda/Duda,Pensiunan,61+
124071321,Kanada,Perempuan,1931,89,6,3,9,8,5,2,Janda/Duda,Pensiunan,61+
124073566,Kanada,Perempuan,1930,89,6,4,8,4,4,5,Lajang,Pensiunan,61+
124074356,Kanada,Laki-laki,1931,89,8,4,8,7,8,5,Menikah,Pensiunan,61+
554070216,Selandia Baru,Perempuan,1930,89,9,2,10,7,6,8,Janda/Duda,Pensiunan,61+
124070295,Kanada,Laki-laki,1932,88,8,1,10,8,9,10,Janda/Duda,Pensiunan,61+
124072193,Kanada,Perempuan,1958,88,8,4,5,8,6,5,Janda/Duda,Pensiunan,61+
554070038,Selandia Baru,Laki-laki,1931,88,10,2,10,10,10,5,Janda/Duda,Pensiunan,61+
554070157,Selandia Baru,Perempuan,1932,87,10,1,10,10,6,10,Menikah,Pensiunan,61+
554070225,Selandia Baru,Laki-laki,1932,87,8,1,9,8,4,2,Bercerai,Pensiunan,61+
554070607,Selandia Baru,Laki-laki,1932,87,6,4,6,6,4,6,Janda/Duda,Pensiunan,61+
554070625,Selandia Baru,Perempuan,1932,87,9,1,10,9,4,5,Menikah,Pensiunan,61+
554070988,Selandia Baru,Perempuan,1932,87,9,4,9,8,4,7,Janda/Duda,Pensiunan,61+
702071791,Singapura,Perempuan,1933,87,5,3,5,5,6,6,Janda/Duda,Pensiunan,61+
124070154,Kanada,Perempuan,1933,86,8,3,7,7,9,1,Janda/Duda,Wiraswasta,61+
124070327,Kanada,Laki-laki,1934,86,6,4,4,7,4,8,Menikah,Pensiunan,61+
124070831,Kanada,Laki-laki,1934,86,10,1,10,10,6,9,Janda/Duda,Pensiunan,61+
124071435,Kanada,Laki-laki,1934,86,8,1,8,8,7,5,Menikah,Pensiunan,61+
124072443,Kanada,Perempuan,1934,86,8,1,8,9,3,6,Bercerai,Pensiunan,61+
554070961,Selandia Baru,Laki-laki,1933,86,9,4,10,9,7,7,Menikah,Pensiunan,61+
124071251,Kanada,Laki-laki,1935,85,7,1,7,8,9,6,Menikah,Pensiunan,61+
124072263,Kanada,Laki-laki,1935,85,9,1,8,9,10,5,Janda/Duda,Pensiunan,61+
124075305,Kanada,Laki-laki,1935,85,8,3,9,8,6,4,Menikah,Pensiunan,61+
124075311,Kanada,Perempuan,1934,85,9,4,8,9,6,6,Janda/Duda,Pensiunan,61+
124075816,Kanada,Laki-laki,1935,85,7,2,8,8,3,7,Bercerai,Pensiunan,61+
554070122,Selandia Baru,Laki-laki,1934,85,8,1,8,8,7,1,Menikah,Pensiunan,61+
554070189,Selandia Baru,Perempuan,1934,85,6,4,8,8,5,1,Janda/Duda,Pensiunan,61+
554070326,Selandia Baru,Laki-laki,1934,85,8,1,8,9,4,6,Menikah,Pensiunan,61+
554070601,Selandia Baru,Laki-laki,1934,85,5,3,3,6,3,7,Lajang,Pensiunan,61+
554070604,Selandia Baru,Perempuan,1934,85,5,2,5,5,6,4,Menikah,Pensiunan,61+
702070018,Singapura,Perempuan,1935,85,6,3,4,7,9,8,Bercerai,Pensiunan,61+
702071219,Singapura,Perempuan,1935,85,5,2,6,6,8,5,Janda/Duda,Pensiunan,61+
124070312,Kanada,Laki-laki,1936,84,9,2,9,5,3,4,Menikah,Pensiunan,61+
124070930,Kanada,Laki-laki,1936,84,9,1,7,8,3,3,Menikah,Pensiunan,61+
124072724,Kanada,Laki-laki,1936,84,7,2,9,8,6,8,Menikah,Pensiunan,61+
124073570,Kanada,Laki-laki,1936,84,9,2,9,9,9,5,Menikah,Pensiunan,61+
