country,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124070003,1,1,1,1,7,5,8,A religious person,10,Female,1944,76,Separated,Retired/pensioned
CAN,124070004,1,1,2,1,5,8,2,A religious person,5,Male,1951,69,Married,Retired/pensioned
CAN,124070005,2,2,2,2,8,9,8,An atheist,2,Female,1984,35,Living together as married,Part time
CAN,124070006,1,2,2,2,4,7,8,A religious person,8,Male,1975,45,Married,Full time
CAN,124070008,1,2,2,2,7,1,9,Not a religious person,6,Male,1988,32,Divorced,Full time
CAN,124070009,1,2,2,1,6,7,8,An atheist,6,Male,1982,38,Married,Full time
CAN,124070010,1,1,1,1,9,9,9,An atheist,7,Male,1981,38,Married,Self employed
CAN,124070011,1,2,2,2,7,6,5,A religious person,5,Female,1985,34,Married,Unemployed
CAN,124070012,1,1,1,1,8,7,6,Not a religious person,6,Male,1955,65,Widowed,Self employed
CAN,124070013,1,3,2,2,6,6,9,A religious person,4,Male,1989,31,Single,Full time
CAN,124070014,1,1,1,1,8,7,5,Not a religious person,5,Female,1993,27,Single,Full time
CAN,124070015,1,2,1,2,10,10,7,Not a religious person,4,Male,1987,33,Married,Full time
CAN,124070016,1,1,2,4,8,8,9,An atheist,1,Male,1954,66,Widowed,Retired/pensioned
CAN,124070017,1,1,2,1,9,10,9,Not a religious person,7,Female,1970,50,Married,Homemaker not otherwise employed
CAN,124070018,1,1,1,3,7,6,7,Not a religious person,2,Female,1999,20,Single,Student
CAN,124070019,2,3,2,3,6,7,8,A religious person,8,Male,1986,34,Living together as married,Self employed
CAN,124070020,1,2,2,4,9,9,9,A religious person,6,Female,1946,74,Married,Retired/pensioned
CAN,124070021,2,1,1,2,5,7,6,An atheist,7,Female,1973,48,Married,Full time
CAN,124070022,1,3,1,4,7,3,8,An atheist,6,Female,1969,51,Living together as married,Full time
CAN,124070023,1,1,1,1,10,8,10,An atheist,1,Female,1984,36,Living together as married,Full time
CAN,124070024,1,1,1,2,7,7,6,A religious person,9,Male,1987,32,Married,Full time
CAN,124070025,1,1,1,4,8,8,8,Not a religious person,6,Male,1948,72,Widowed,Retired/pensioned
CAN,124070026,1,2,1,1,8,7,6,A religious person,6,Male,1995,25,Single,Part time
CAN,124070027,1,2,2,1,8,8,8,Not a religious person,5,Male,1978,42,Living together as married,Full time
CAN,124070028,1,1,1,1,7,8,7,Not a religious person,8,Female,1991,29,Single,Full time
CAN,124070029,1,1,2,1,10,8,9,A religious person,9,Male,1990,30,Married,Full time
CAN,124070030,1,3,1,3,10,9,9,Not a religious person,3,Male,1955,65,Married,Self employed
CAN,124070031,1,1,2,2,7,6,8,Not a religious person,5,Female,2001,19,Single,Part time
CAN,124070032,1,2,2,3,10,9,9,Not a religious person,6,Male,1953,66,Married,Unemployed
CAN,124070033,1,1,1,3,7,8,3,Not a religious person,9,Male,1982,38,Separated,Full time
CAN,124070034,1,2,1,2,8,6,4,A religious person,3,Male,1972,48,Married,Full time
CAN,124070035,1,1,1,1,1,1,1,A religious person,10,Male,1979,40,Single,Unemployed
CAN,124070036,1,2,1,1,7,7,6,Not a religious person,4,Female,1968,52,Divorced,Part time
CAN,124070037,2,2,2,3,5,4,4,A religious person,6,Female,1986,34,Single,Student
CAN,124070038,3,2,3,2,7,7,4,A religious person,7,Male,1977,43,Married,Full time
CAN,124070039,2,2,2,3,7,7,5,An atheist,8,Male,1990,30,Single,Self employed
CAN,124070040,1,2,3,4,4,4,3,Not a religious person,4,Female,1976,44,Separated,Other
CAN,124070041,1,1,1,3,7,6,5,A religious person,6,Female,1993,27,Living together as married,Student
CAN,124070042,1,2,2,2,8,7,6,Not a religious person,5,Female,1960,59,Married,Self employed
CAN,124070043,1,2,1,1,7,8,8,A religious person,4,Female,2001,19,Single,Student
CAN,124070045,2,2,2,2,6,6,6,Not a religious person,5,Male,1990,29,Single,Full time
CAN,124070046,1,1,1,2,8,8,8,Not a religious person,8,Male,1984,36,Married,Full time
CAN,124070047,1,2,2,2,7,5,3,An atheist,1,Female,1987,33,Married,Part time
CAN,124070048,1,2,2,1,8,7,5,Not a religious person,3,Female,1980,40,Separated,Full time
CAN,124070049,1,1,1,1,7,8,8,An atheist,3,Female,1993,27,Single,Part time
