negara,id_responden,pentingnya_keluarga,pentingnya_teman,pentingnya_waktu_luang,pentingnya_pekerjaan,kebebasan_memilih,kepuasan_hidup,kepuasan_finansial,religiusitas,skala_politik,jenis_kelamin,tahun_lahir,usia,status_pernikahan,status_pekerjaan
Kanada,124070003,1.0,1.0,1.0,1.0,7.0,5.0,8.0,9.0,10.0,Perempuan,1944.0,76.0,Pisah,Pensiunan
Kanada,124070004,1.0,1.0,2.0,1.0,5.0,8.0,2.0,10.0,5.0,Laki-laki,1951.0,69.0,Menikah,Pensiunan
Kanada,124070005,2.0,2.0,2.0,2.0,8.0,9.0,8.0,3.0,2.0,Perempuan,1984.0,35.0,Kohabitasi,Paruh waktu
Kanada,124070006,1.0,2.0,2.0,2.0,4.0,7.0,8.0,8.0,8.0,Laki-laki,1975.0,45.0,Menikah,Penuh waktu
Kanada,124070008,1.0,2.0,2.0,2.0,7.0,1.0,9.0,3.0,6.0,Laki-laki,1988.0,32.0,Bercerai,Penuh waktu
Kanada,124070009,1.0,2.0,2.0,1.0,6.0,7.0,8.0,1.0,6.0,Laki-laki,1982.0,38.0,Menikah,Penuh waktu
Kanada,124070010,1.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,7.0,Laki-laki,1981.0,38.0,Menikah,Wiraswasta
Kanada,124070011,1.0,2.0,2.0,2.0,7.0,6.0,5.0,7.0,5.0,Perempuan,1985.0,34.0,Menikah,Tidak bekerja
Kanada,124070012,1.0,1.0,1.0,1.0,8.0,7.0,6.0,5.0,6.0,Laki-laki,1955.0,65.0,Janda/Duda,Wiraswasta
Kanada,124070013,1.0,3.0,2.0,2.0,6.0,6.0,9.0,8.0,4.0,Laki-laki,1989.0,31.0,Lajang,Penuh waktu
Kanada,124070014,1.0,1.0,1.0,1.0,8.0,7.0,5.0,5.0,5.0,Perempuan,1993.0,27.0,Lajang,Penuh waktu
Kanada,124070015,1.0,2.0,1.0,2.0,10.0,10.0,7.0,3.0,4.0,Laki-laki,1987.0,33.0,Menikah,Penuh waktu
Kanada,124070016,1.0,1.0,2.0,4.0,8.0,8.0,9.0,3.0,1.0,Laki-laki,1954.0,66.0,Janda/Duda,Pensiunan
Kanada,124070017,1.0,1.0,2.0,1.0,9.0,10.0,9.0,4.0,7.0,Perempuan,1970.0,50.0,Menikah,Ibu rumah tangga
Kanada,124070018,1.0,1.0,1.0,3.0,7.0,6.0,7.0,3.0,2.0,Perempuan,1999.0,20.0,Lajang,Pelajar/Mahasiswa
Kanada,124070019,2.0,3.0,2.0,3.0,6.0,7.0,8.0,7.0,8.0,Laki-laki,1986.0,34.0,Kohabitasi,Wiraswasta
Kanada,124070020,1.0,2.0,2.0,4.0,9.0,9.0,9.0,9.0,6.0,Perempuan,1946.0,74.0,Menikah,Pensiunan
Kanada,124070021,2.0,1.0,1.0,2.0,5.0,7.0,6.0,2.0,7.0,Perempuan,1973.0,48.0,Menikah,Penuh waktu
Kanada,124070022,1.0,3.0,1.0,4.0,7.0,3.0,8.0,2.0,6.0,Perempuan,1969.0,51.0,Kohabitasi,Penuh waktu
Kanada,124070023,1.0,1.0,1.0,1.0,10.0,8.0,10.0,2.0,1.0,Perempuan,1984.0,36.0,Kohabitasi,Penuh waktu
Kanada,124070024,1.0,1.0,1.0,2.0,7.0,7.0,6.0,9.0,9.0,Laki-laki,1987.0,32.0,Menikah,Penuh waktu
Kanada,124070025,1.0,1.0,1.0,4.0,8.0,8.0,8.0,3.0,6.0,Laki-laki,1948.0,72.0,Janda/Duda,Pensiunan
Kanada,124070026,1.0,2.0,1.0,1.0,8.0,7.0,6.0,6.0,6.0,Laki-laki,1995.0,25.0,Lajang,Paruh waktu
Kanada,124070027,1.0,2.0,2.0,1.0,8.0,8.0,8.0,4.0,5.0,Laki-laki,1978.0,42.0,Kohabitasi,Penuh waktu
Kanada,124070028,1.0,1.0,1.0,1.0,7.0,8.0,7.0,4.0,8.0,Perempuan,1991.0,29.0,Lajang,Penuh waktu
Kanada,124070029,1.0,1.0,2.0,1.0,10.0,8.0,9.0,10.0,9.0,Laki-laki,1990.0,30.0,Menikah,Penuh waktu
Kanada,124070030,1.0,3.0,1.0,3.0,10.0,9.0,9.0,3.0,3.0,Laki-laki,1955.0,65.0,Menikah,Wiraswasta
Kanada,124070031,1.0,1.0,2.0,2.0,7.0,6.0,8.0,3.0,5.0,Perempuan,2001.0,19.0,Lajang,Paruh waktu
Kanada,124070032,1.0,2.0,2.0,3.0,10.0,9.0,9.0,5.0,6.0,Laki-laki,1953.0,66.0,Menikah,Tidak bekerja
Kanada,124070033,1.0,1.0,1.0,3.0,7.0,8.0,3.0,5.0,9.0,Laki-laki,1982.0,38.0,Pisah,Penuh waktu
Kanada,124070034,1.0,2.0,1.0,2.0,8.0,6.0,4.0,7.0,3.0,Laki-laki,1972.0,48.0,Menikah,Penuh waktu
Kanada,124070035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,Laki-laki,1979.0,40.0,Lajang,Tidak bekerja
Kanada,124070036,1.0,2.0,1.0,1.0,7.0,7.0,6.0,5.0,4.0,Perempuan,1968.0,52.0,Bercerai,Paruh waktu
Kanada,124070037,2.0,2.0,2.0,3.0,5.0,4.0,4.0,8.0,6.0,Perempuan,1986.0,34.0,Lajang,Pelajar/Mahasiswa
Kanada,124070038,3.0,2.0,3.0,2.0,7.0,7.0,4.0,9.0,7.0,Laki-laki,1977.0,43.0,Menikah,Penuh waktu
Kanada,124070039,2.0,2.0,2.0,3.0,7.0,7.0,5.0,3.0,8.0,Laki-laki,1990.0,30.0,Lajang,Wiraswasta
Kanada,124070040,1.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,Perempuan,1976.0,44.0,Pisah,Lainnya
Kanada,124070041,1.0,1.0,1.0,3.0,7.0,6.0,5.0,8.0,6.0,Perempuan,1993.0,27.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124070042,1.0,2.0,2.0,2.0,8.0,7.0,6.0,3.0,5.0,Perempuan,1960.0,59.0,Menikah,Wiraswasta
Kanada,124070043,1.0,2.0,1.0,1.0,7.0,8.0,8.0,8.0,4.0,Perempuan,2001.0,19.0,Lajang,Pelajar/Mahasiswa
Kanada,124070045,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,5.0,Laki-laki,1990.0,29.0,Lajang,Penuh waktu
Kanada,124070046,1.0,1.0,1.0,2.0,8.0,8.0,8.0,3.0,8.0,Laki-laki,1984.0,36.0,Menikah,Penuh waktu
Kanada,124070047,1.0,2.0,2.0,2.0,7.0,5.0,3.0,1.0,1.0,Perempuan,1987.0,33.0,Menikah,Paruh waktu
Kanada,124070048,1.0,2.0,2.0,1.0,8.0,7.0,5.0,5.0,3.0,Perempuan,1980.0,40.0,Pisah,Penuh waktu
Kanada,124070049,1.0,1.0,1.0,1.0,7.0,8.0,8.0,2.0,3.0,Perempuan,1993.0,27.0,Lajang,Paruh waktu
Kanada,124070050,1.0,1.0,2.0,2.0,9.0,9.0,8.0,9.0,5.0,Perempuan,1969.0,51.0,Bercerai,Penuh waktu
Kanada,124070051,2.0,2.0,2.0,1.0,9.0,6.0,6.0,6.0,5.0,Laki-laki,1996.0,24.0,Lajang,Penuh waktu
Kanada,124070053,1.0,2.0,3.0,1.0,8.0,8.0,6.0,4.0,9.0,Laki-laki,1970.0,49.0,Menikah,Wiraswasta
Kanada,124070054,1.0,1.0,1.0,1.0,8.0,9.0,9.0,7.0,2.0,Perempuan,1990.0,30.0,Kohabitasi,Penuh waktu
Kanada,124070055,1.0,2.0,2.0,1.0,9.0,8.0,6.0,7.0,7.0,Perempuan,1981.0,39.0,Menikah,Wiraswasta
Kanada,124070056,1.0,2.0,1.0,2.0,8.0,8.0,8.0,3.0,8.0,Laki-laki,1982.0,38.0,Menikah,Penuh waktu
Kanada,124070057,2.0,2.0,2.0,3.0,9.0,9.0,9.0,7.0,9.0,Laki-laki,1962.0,58.0,Lajang,Pensiunan
Kanada,124070058,1.0,1.0,1.0,2.0,9.0,9.0,8.0,3.0,7.0,Laki-laki,1987.0,33.0,Menikah,Penuh waktu
Kanada,124070059,1.0,1.0,1.0,2.0,6.0,7.0,3.0,2.0,10.0,Laki-laki,1977.0,43.0,Menikah,Wiraswasta
Kanada,124070060,1.0,2.0,1.0,2.0,9.0,7.0,6.0,5.0,7.0,Laki-laki,1971.0,49.0,Lajang,Paruh waktu
Kanada,124070061,1.0,1.0,2.0,3.0,6.0,3.0,5.0,3.0,3.0,Laki-laki,1981.0,39.0,Kohabitasi,Tidak bekerja
Kanada,124070062,2.0,2.0,1.0,4.0,8.0,8.0,10.0,1.0,5.0,Laki-laki,1948.0,71.0,Menikah,Pensiunan
Kanada,124070063,1.0,3.0,1.0,2.0,10.0,10.0,10.0,8.0,8.0,Laki-laki,1965.0,55.0,Menikah,Penuh waktu
Kanada,124070064,1.0,1.0,2.0,2.0,8.0,6.0,9.0,6.0,7.0,Laki-laki,1990.0,30.0,Menikah,Penuh waktu
Kanada,124070066,1.0,1.0,1.0,1.0,8.0,8.0,8.0,2.0,3.0,Perempuan,1988.0,32.0,Kohabitasi,Penuh waktu
Kanada,124070067,1.0,1.0,2.0,2.0,9.0,8.0,7.0,4.0,4.0,Perempuan,1998.0,22.0,Lajang,Pelajar/Mahasiswa
Kanada,124070068,2.0,2.0,2.0,2.0,8.0,7.0,6.0,2.0,5.0,Laki-laki,1969.0,51.0,Kohabitasi,Penuh waktu
Kanada,124070069,1.0,2.0,3.0,2.0,6.0,6.0,5.0,4.0,5.0,Perempuan,1977.0,42.0,Lajang,Penuh waktu
Kanada,124070070,1.0,2.0,2.0,3.0,9.0,8.0,8.0,4.0,8.0,Laki-laki,1998.0,22.0,Lajang,Pelajar/Mahasiswa
Kanada,124070071,1.0,1.0,2.0,1.0,8.0,8.0,2.0,7.0,4.0,Laki-laki,1953.0,67.0,Menikah,Paruh waktu
Kanada,124070072,1.0,2.0,1.0,1.0,7.0,6.0,7.0,4.0,3.0,Laki-laki,1945.0,74.0,Menikah,Tidak bekerja
Kanada,124070073,1.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,6.0,Perempuan,1978.0,42.0,Kohabitasi,Penuh waktu
Kanada,124070074,1.0,1.0,1.0,2.0,8.0,5.0,3.0,3.0,3.0,Laki-laki,1989.0,31.0,Pisah,Penuh waktu
Kanada,124070100,1.0,2.0,3.0,2.0,7.0,8.0,8.0,7.0,7.0,Laki-laki,1976.0,44.0,Kohabitasi,Penuh waktu
Kanada,124070101,1.0,2.0,1.0,2.0,1.0,7.0,5.0,7.0,8.0,Laki-laki,1964.0,55.0,Menikah,Penuh waktu
