id_responden,negara,pentingnya_keluarga,pentingnya_teman,pentingnya_waktu_luang,pentingnya_pekerjaan,kebebasan_memilih,kepuasan_hidup,kepuasan_finansial,skala_politik,tahun_lahir,usia,religiusitas,jenis_kelamin,status_pernikahan,status_pekerjaan
360070001,Indonesia,1.0,2.0,2.0,1.0,8,8.0,3.0,8.0,1998.0,20.0,7.0,Laki-laki,Lajang,Paruh waktu
360070002,Indonesia,1.0,2.0,2.0,1.0,7,8.0,4.0,-1.0,1983.0,35.0,10.0,Perempuan,Menikah,Wiraswasta
360070003,Indonesia,1.0,1.0,1.0,1.0,5,5.0,3.0,3.0,1997.0,21.0,8.0,Laki-laki,Lajang,Paruh waktu
360070004,Indonesia,1.0,2.0,2.0,1.0,10,10.0,10.0,1.0,1983.0,35.0,7.0,Laki-laki,Menikah,Wiraswasta
360070005,Indonesia,1.0,2.0,2.0,1.0,5,9.0,10.0,4.0,1997.0,21.0,7.0,Perempuan,Menikah,Wiraswasta
360070006,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,6.0,1995.0,23.0,6.0,Laki-laki,Lajang,Penuh waktu
360070007,Indonesia,1.0,2.0,1.0,1.0,6,3.0,2.0,7.0,1975.0,43.0,7.0,Laki-laki,Menikah,Wiraswasta
360070008,Indonesia,1.0,2.0,2.0,1.0,5,5.0,3.0,-1.0,1973.0,45.0,7.0,Laki-laki,Menikah,Wiraswasta
360070009,Indonesia,1.0,1.0,1.0,1.0,3,4.0,3.0,5.0,1986.0,32.0,10.0,Laki-laki,Menikah,Penuh waktu
360070010,Indonesia,1.0,2.0,2.0,2.0,8,1.0,2.0,-1.0,1986.0,32.0,8.0,Laki-laki,Menikah,Paruh waktu
360070011,Indonesia,1.0,1.0,2.0,1.0,10,10.0,3.0,10.0,1984.0,34.0,8.0,Laki-laki,Bercerai,Wiraswasta
360070012,Indonesia,1.0,2.0,3.0,1.0,10,9.0,5.0,10.0,1993.0,25.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070013,Indonesia,1.0,2.0,3.0,1.0,10,1.0,1.0,10.0,1986.0,32.0,9.0,Perempuan,Menikah,Wiraswasta
360070014,Indonesia,1.0,2.0,1.0,1.0,3,10.0,10.0,10.0,1999.0,19.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070015,Indonesia,1.0,2.0,1.0,1.0,10,10.0,6.0,5.0,1994.0,24.0,4.0,Perempuan,Menikah,Wiraswasta
360070016,Indonesia,1.0,3.0,3.0,1.0,9,8.0,7.0,5.0,1990.0,27.0,7.0,Perempuan,Menikah,Wiraswasta
360070017,Indonesia,1.0,1.0,3.0,1.0,5,10.0,10.0,6.0,1971.0,47.0,8.0,Perempuan,Menikah,Paruh waktu
360070018,Indonesia,1.0,1.0,1.0,1.0,4,6.0,10.0,7.0,1995.0,23.0,9.0,Laki-laki,Lajang,Wiraswasta
360070019,Indonesia,1.0,1.0,1.0,1.0,10,10.0,7.0,10.0,1972.0,46.0,10.0,Perempuan,Menikah,Wiraswasta
360070020,Indonesia,1.0,2.0,1.0,1.0,10,10.0,8.0,8.0,1987.0,31.0,9.0,Perempuan,Menikah,Wiraswasta
360070021,Indonesia,1.0,3.0,2.0,1.0,5,4.0,4.0,-1.0,1964.0,54.0,7.0,Laki-laki,Menikah,Paruh waktu
360070022,Indonesia,1.0,1.0,3.0,1.0,10,10.0,10.0,4.0,1990.0,27.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070023,Indonesia,1.0,1.0,3.0,2.0,10,10.0,1.0,10.0,1996.0,22.0,9.0,Perempuan,Lajang,Paruh waktu
360070024,Indonesia,1.0,1.0,2.0,1.0,5,10.0,10.0,1.0,1994.0,24.0,3.0,Perempuan,Lajang,Tidak bekerja
360070025,Indonesia,1.0,2.0,1.0,1.0,3,6.0,10.0,9.0,1988.0,30.0,7.0,Laki-laki,Menikah,Penuh waktu
360070026,Indonesia,1.0,1.0,1.0,1.0,5,6.0,5.0,10.0,1971.0,47.0,9.0,Laki-laki,Menikah,Tidak bekerja
360070027,Indonesia,1.0,1.0,2.0,1.0,6,5.0,8.0,1.0,1989.0,29.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070028,Indonesia,1.0,3.0,1.0,1.0,7,6.0,9.0,9.0,1989.0,28.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070029,Indonesia,1.0,2.0,1.0,1.0,10,10.0,10.0,8.0,1953.0,65.0,10.0,Laki-laki,Menikah,Wiraswasta
360070030,Indonesia,1.0,2.0,1.0,1.0,8,9.0,10.0,8.0,1984.0,33.0,10.0,Perempuan,Janda/Duda,Penuh waktu
360070031,Indonesia,1.0,1.0,2.0,1.0,7,8.0,7.0,6.0,1972.0,45.0,9.0,Laki-laki,Menikah,Penuh waktu
360070032,Indonesia,1.0,2.0,1.0,1.0,10,10.0,10.0,5.0,1992.0,25.0,7.0,Perempuan,Menikah,Wiraswasta
360070033,Indonesia,1.0,1.0,2.0,1.0,7,7.0,7.0,6.0,2000.0,18.0,9.0,Perempuan,Lajang,Tidak bekerja
360070034,Indonesia,1.0,2.0,2.0,1.0,5,10.0,10.0,10.0,1969.0,49.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070035,Indonesia,1.0,2.0,3.0,1.0,10,10.0,10.0,10.0,1984.0,34.0,6.0,Laki-laki,Menikah,Wiraswasta
360070036,Indonesia,1.0,1.0,2.0,1.0,1,10.0,1.0,1.0,1975.0,42.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070037,Indonesia,1.0,2.0,1.0,1.0,7,9.0,7.0,-1.0,1984.0,34.0,10.0,Laki-laki,Menikah,Penuh waktu
360070038,Indonesia,1.0,2.0,3.0,1.0,10,6.0,7.0,10.0,1998.0,19.0,9.0,Laki-laki,Lajang,Penuh waktu
360070039,Indonesia,1.0,1.0,1.0,1.0,1,5.0,5.0,4.0,1977.0,41.0,9.0,Laki-laki,Menikah,Penuh waktu
